model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.5325107955344955,root_mean_squared_error,0.025002002716064453,2.3147032260894775,0.00011706352233886719,0.0018241405487060547,2,True,4
CatBoost,-0.5345470740734664,root_mean_squared_error,0.0007359981536865234,2.083677053451538,0.0007359981536865234,2.083677053451538,1,True,2
RandomForest,-0.5876218405070318,root_mean_squared_error,0.024148941040039062,0.2292020320892334,0.024148941040039062,0.2292020320892334,1,True,1
ExtraTrees,-0.5955331750610847,root_mean_squared_error,0.02347111701965332,0.16529297828674316,0.02347111701965332,0.16529297828674316,1,True,3
