,importance,stddev,p_value,n,p99_high,p99_low
Latitude,0.6943362498447558,0.019525710633615575,7.496723525866215e-08,5,0.7345399579127955,0.6541325417767162
Longitude,0.667650457446811,0.008957572430619728,3.887243363415197e-09,5,0.686094222888001,0.6492066920056209
MedInc,0.46226932446890723,0.010962371881620693,3.792219745242347e-08,5,0.4848409996889223,0.43969764924889215
AveOccup,0.1443984008720892,0.010098039281919276,2.8513686193887726e-06,5,0.16519040332299842,0.12360639842117996
HouseAge,0.04906131577818316,0.0077667780038156225,7.291446411799837e-05,5,0.06505321903609063,0.0330694125202757
AveRooms,0.03130908017655389,0.006462324584724036,0.00020595850032457494,5,0.044615095815127966,0.01800306453797982
Population,0.010662204883568505,0.0023776825954059627,0.0002780657048986051,5,0.015557886210505158,0.005766523556631851
AveBedrms,0.00503340374463237,0.005590244641065257,0.05718162093546202,5,0.01654379472581297,-0.006476987236548229
