model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,-0.028421396389603615,log_loss,0.0008401870727539062,15.641459941864014,0.0008401870727539062,15.641459941864014,1,True,2
WeightedEnsemble_L2,-0.028421396389603615,log_loss,0.0015263557434082031,15.675516843795776,0.0006861686706542969,0.034056901931762695,2,True,4
RandomForest,-0.14136870205402374,log_loss,0.02416515350341797,0.15193986892700195,0.02416515350341797,0.15193986892700195,1,True,1
ExtraTrees,-0.17161720991134644,log_loss,0.013507843017578125,0.15255403518676758,0.013507843017578125,0.15255403518676758,1,True,3
