feature,importance_mean,importance_std
trip_distance_miles,1.8511866486689708,0.040122771039352925
is_rush_hour,0.07041185010548238,0.0032498707213297036
payment_type,0.01945874282816791,0.0013155436400687165
pu_zone,0.002601905531237833,0.00046492052601782957
rate_code,0.0021040040464933157,0.00022533936192499536
is_airport_trip,0.0020535987835906266,0.0003032336514792156
pickup_hour,0.0001288750969210828,9.776332635839992e-05
pickup_dayofweek,9.388226765863483e-05,7.426157059436638e-05
vendor_id,5.585604054317295e-05,4.723287647535571e-05
passenger_count,6.0754612128122165e-06,0.00011183549449161534
is_weekend,-2.0197696682919264e-05,1.70886469244267e-05
do_zone,-0.00021687125533249862,0.0001854535505619082
