model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
ETS,-0.696494239327934,-0.7434194112261425,0.47120094299316406,1.7228009700775146,0.0040149688720703125,4
WeightedEnsemble,-0.7060946627889453,-0.7234071681984299,1.0397467613220215,2.082754111068425,0.06906062499911059,8
RecursiveTabular,-0.7496263005240724,-0.8106871342013687,0.021013736724853516,0.020043134689331055,1.336911916732788,2
Chronos2,-0.7583123890658842,-0.7683849742838679,0.5469951629638672,0.3394138813018799,1.7327640056610107,6
Theta,-0.7608455641084306,-0.8056079477473542,0.016944169998168945,1.4087250232696533,0.0044269561767578125,5
Toto2,-0.7886943856763479,-0.8096032983283249,0.2473583221435547,0.007896661758422852,0.2554764747619629,7
DirectTabular,-0.9445499164065352,-1.0602183504564051,0.0172882080078125,0.015027046203613281,1.7679147720336914,3
SeasonalNaive,-1.0493075753053365,-0.9981616059872332,0.012395620346069336,1.5201399326324463,0.004452228546142578,1
