model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9908152734778122,roc_auc,0.02553415298461914,0.8748781681060791,0.00022602081298828125,0.007843971252441406,2,True,4
ExtraTrees_BAG_L1,0.989938080495356,roc_auc,0.024404048919677734,0.1375880241394043,0.024404048919677734,0.1375880241394043,1,True,3
CatBoost_BAG_L1,0.9893911248710012,roc_auc,0.000904083251953125,0.7294461727142334,0.000904083251953125,0.7294461727142334,1,True,2
RandomForest_BAG_L1,0.9860784313725491,roc_auc,0.025495052337646484,0.1370561122894287,0.025495052337646484,0.1370561122894287,1,True,1
