detector,label,valid_average_precision,valid_roc_auc,test_average_precision,test_roc_auc,test_precision_at_budget,test_recall_at_budget,seconds
elliptic,elliptic[support_fraction=0.85] | components_amount | standard,0.27191306854418484,0.9781476828587381,0.26716395339480054,0.9606323283082077,0.25,0.25,5.120242957998926
ocsvm,"ocsvm[gamma=0.01, nu=0.05] | components_amount | standard",0.26390015307594317,0.9764168062534897,0.2522783981271493,0.959360692350642,0.23333333333333334,0.23333333333333334,0.4959962499997346
pca_recon,pca_recon[n_components=10] | components_amount | standard,0.24206713223716728,0.9438358458961474,0.24226459218029936,0.9338805136795086,0.21666666666666667,0.21666666666666667,0.026428541999848676
lof,"lof[metric=manhattan, n_neighbors=35] | components_amount | standard",0.158644286735342,0.9749637074260189,0.16393074656231268,0.9589907872696817,0.18333333333333332,0.18333333333333332,8.394503249999616
iforest,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount | standard",0.11688457290761763,0.9726605248464546,0.1303807559131104,0.9418858179787828,0.1,0.1,0.7378114999992249
