model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9312065972222223,roc_auc,0.00442814826965332,1.260352611541748,0.000225067138671875,0.011465311050415039,2,True,10
CatBoost,0.9299045138888888,roc_auc,0.0017161369323730469,0.44355010986328125,0.0017161369323730469,0.44355010986328125,1,True,5
LightGBMXT,0.916775173611111,roc_auc,0.0013818740844726562,1.343074083328247,0.0013818740844726562,1.343074083328247,1,True,1
NeuralNetTorch,0.9137369791666667,roc_auc,0.0024869441986083984,0.8053371906280518,0.0024869441986083984,0.8053371906280518,1,True,8
RandomForestEntr,0.8985460069444444,roc_auc,0.0266568660736084,0.1742258071899414,0.0266568660736084,0.1742258071899414,1,True,4
RandomForestGini,0.8963216145833334,roc_auc,0.023151874542236328,0.24618792533874512,0.023151874542236328,0.24618792533874512,1,True,3
LightGBM,0.8962673611111112,roc_auc,0.0011289119720458984,1.4788498878479004,0.0011289119720458984,1.4788498878479004,1,True,2
ExtraTreesGini,0.8948567708333334,roc_auc,0.026886940002441406,0.17435693740844727,0.026886940002441406,0.17435693740844727,1,True,6
ExtraTreesEntr,0.8906792534722222,roc_auc,0.024415016174316406,0.16397905349731445,0.024415016174316406,0.16397905349731445,1,True,7
LightGBMLarge,0.8766276041666667,roc_auc,0.0012941360473632812,5.570482969284058,0.0012941360473632812,5.570482969284058,1,True,9
