,importance,stddev,p_value,n,p99_high,p99_low
rating,0.3272361111111112,0.02342643257210867,3.130395069798582e-06,5,0.37547145956479033,0.2790007626574321
review_text,0.025583333333333423,0.010734682598653173,0.002984460861810575,5,0.04768619317304113,0.0034804734936257145
shipping_method,-0.0006111111111110956,0.0010773964818080704,0.8632622225502634,5,0.0016072631361336008,-0.002829485358355792
category,-0.0007361111111110708,0.0013126653335019968,0.8609255043170123,5,0.0019666849535325184,-0.0034389071757546597
price,-0.0009236111111111444,0.0020045280531958845,0.8194548287358258,5,0.003203739855941167,-0.005050962078163456
