model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-14.233384374161838,pinball_loss,0.03438901901245117,0.42694830894470215,0.00021719932556152344,0.010563135147094727,2,True,8
NeuralNetTorch,-14.282307587207205,pinball_loss,0.0012297630310058594,0.27426624298095703,0.0012297630310058594,0.27426624298095703,1,True,6
LightGBMXT,-14.869053239777614,pinball_loss,0.0007238388061523438,1.0969209671020508,0.0007238388061523438,1.0969209671020508,1,True,1
ExtraTreesMSE,-15.247394230444108,pinball_loss,0.03294205665588379,0.1421189308166504,0.03294205665588379,0.1421189308166504,1,True,5
CatBoost,-15.905904689305265,pinball_loss,0.00021696090698242188,0.18866682052612305,0.00021696090698242188,0.18866682052612305,1,True,4
LightGBM,-15.97316511091492,pinball_loss,0.0009081363677978516,1.3091740608215332,0.0009081363677978516,1.3091740608215332,1,True,2
RandomForestMSE,-16.14741240577519,pinball_loss,0.03713583946228027,0.14032578468322754,0.03713583946228027,0.14032578468322754,1,True,3
LightGBMLarge,-16.595347958775193,pinball_loss,0.0009799003601074219,6.256523847579956,0.0009799003601074219,6.256523847579956,1,True,7
